Level	Kanji	KanjiStroke	Meaning	Type	DO NOT CHANGE	Tags
46	寮	"<img src=""05bee.svg"">"	Dormitory	Kanji Drawing	-	Kanji_Drawing Level_46 Genki_L6
11	指	"<img src=""06307.svg"">"	Finger	Kanji Drawing	-	Kanji_Drawing Level_11 Genki_L7
11	低	"<img src=""04f4e.svg"">"	Low	Kanji Drawing	-	Kanji_Drawing Level_11 Genki_L7
12	歯	"<img src=""06b6f.svg"">"	Tooth, Teeth	Kanji Drawing	-	Kanji_Drawing Level_12 Genki_L7
13	鏡	"<img src=""093e1.svg"">"	Mirror	Kanji Drawing	-	Kanji_Drawing Level_13 Genki_L7
15	帰	"<img src=""05e30.svg"">"	Return, Return Home	Kanji Drawing	-	Kanji_Drawing Level_15 Genki_L7
16	取	"<img src=""053d6.svg"">"	Take	Kanji Drawing	-	Kanji_Drawing Level_16 Genki_L7
17	鼻	"<img src=""09f3b.svg"">"	Nose	Kanji Drawing	-	Kanji_Drawing Level_17 Genki_L7
18	胸	"<img src=""080f8.svg"">"	Chest, Breast	Kanji Drawing	-	Kanji_Drawing Level_18 Genki_L7
20	尻	"<img src=""05c3b.svg"">"	Butt, Buttocks	Kanji Drawing	-	Kanji_Drawing Level_20 Genki_L7
20	議	"<img src=""08b70.svg"">"	Deliberation, Discussion	Kanji Drawing	-	Kanji_Drawing Level_20 Genki_L7
23	呼	"<img src=""0547c.svg"">"	Call	Kanji Drawing	-	Kanji_Drawing Level_23 Genki_L7
23	宅	"<img src=""05b85.svg"">"	House, Home	Kanji Drawing	-	Kanji_Drawing Level_23 Genki_L7
23	幹	"<img src=""05e79.svg"">"	Tree Trunk	Kanji Drawing	-	Kanji_Drawing Level_23 Genki_L7
24	肩	"<img src=""080a9.svg"">"	Shoulder	Kanji Drawing	-	Kanji_Drawing Level_24 Genki_L7
30	背	"<img src=""080cc.svg"">"	Back, Height	Kanji Drawing	-	Kanji_Drawing Level_30 Genki_L7
32	祖	"<img src=""07956.svg"">"	Ancestor	Kanji Drawing	-	Kanji_Drawing Level_32 Genki_L7
32	眼	"<img src=""0773c.svg"">"	Eyeball	Kanji Drawing	-	Kanji_Drawing Level_32 Genki_L7
37	眉	"<img src=""07709.svg"">"	Eyebrows	Kanji Drawing	-	Kanji_Drawing Level_37 Genki_L7
38	奥	"<img src=""05965.svg"">"	Interior	Kanji Drawing	-	Kanji_Drawing Level_38 Genki_L7
44	髪	"<img src=""09aea.svg"">"	Hair	Kanji Drawing	-	Kanji_Drawing Level_44 Genki_L7
45	塾	"<img src=""0587e.svg"">"	Cram School	Kanji Drawing	-	Kanji_Drawing Level_45 Genki_L7
12	温	"<img src=""06e29.svg"">"	Warm	Kanji Drawing	-	Kanji_Drawing Level_12 Genki_L8
15	晴	"<img src=""06674.svg"">"	Clear Up	Kanji Drawing	-	Kanji_Drawing Level_15 Genki_L8
18	焼	"<img src=""0713c.svg"">"	Bake, Cook, Burn	Kanji Drawing	-	Kanji_Drawing Level_18 Genki_L8
18	報	"<img src=""05831.svg"">"	News, Report	Kanji Drawing	-	Kanji_Drawing Level_18 Genki_L8
18	洗	"<img src=""06d17.svg"">"	Wash	Kanji Drawing	-	Kanji_Drawing Level_18 Genki_L8
25	鮮	"<img src=""09bae.svg"">"	Fresh	Kanji Drawing	-	Kanji_Drawing Level_25 Genki_L8
26	豚	"<img src=""08c5a.svg"">"	Pork, Pig	Kanji Drawing	-	Kanji_Drawing Level_26 Genki_L8
29	杯	"<img src=""0676f.svg"">"	Cup Of Liquid, Counter For Cups	Kanji Drawing	-	Kanji_Drawing Level_29 Genki_L8
29	乾	"<img src=""04e7e.svg"">"	Dry	Kanji Drawing	-	Kanji_Drawing Level_29 Genki_L8
31	除	"<img src=""09664.svg"">"	Exclude, Remove	Kanji Drawing	-	Kanji_Drawing Level_31 Genki_L8
31	掃	"<img src=""06383.svg"">"	Sweep	Kanji Drawing	-	Kanji_Drawing Level_31 Genki_L8
32	卵	"<img src=""05375.svg"">"	Egg	Kanji Drawing	-	Kanji_Drawing Level_32 Genki_L8
32	捨	"<img src=""06368.svg"">"	Throw Away	Kanji Drawing	-	Kanji_Drawing Level_32 Genki_L8
34	丼	"<img src=""04e3c.svg"">"	Rice Bowl	Kanji Drawing	-	Kanji_Drawing Level_34 Genki_L8
35	汁	"<img src=""06c41.svg"">"	Soup	Kanji Drawing	-	Kanji_Drawing Level_35 Genki_L8
40	駐	"<img src=""099d0.svg"">"	Resident	Kanji Drawing	-	Kanji_Drawing Level_40 Genki_L8
42	袋	"<img src=""0888b.svg"">"	Sack	Kanji Drawing	-	Kanji_Drawing Level_42 Genki_L8
45	曇	"<img src=""066c7.svg"">"	Cloudy	Kanji Drawing	-	Kanji_Drawing Level_45 Genki_L8
45	疲	"<img src=""075b2.svg"">"	Exhausted	Kanji Drawing	-	Kanji_Drawing Level_45 Genki_L8
51	濯	"<img src=""06fef.svg"">"	Wash	Kanji Drawing	-	Kanji_Drawing Level_51 Genki_L8
58	鶏	"<img src=""09d8f.svg"">"	Chicken	Kanji Drawing	-	Kanji_Drawing Level_58 Genki_L8
12	合	"<img src=""05408.svg"">"	Suit, Fit, Join	Kanji Drawing	-	Kanji_Drawing Level_12 Genki_L9
13	緑	"<img src=""07dd1.svg"">"	Green	Kanji Drawing	-	Kanji_Drawing Level_13 Genki_L9
14	能	"<img src=""080fd.svg"">"	Ability	Kanji Drawing	-	Kanji_Drawing Level_14 Genki_L9
15	単	"<img src=""05358.svg"">"	Simple	Kanji Drawing	-	Kanji_Drawing Level_15 Genki_L9
17	是	"<img src=""0662f.svg"">"	Absolutely	Kanji Drawing	-	Kanji_Drawing Level_17 Genki_L9
17	非	"<img src=""0975e.svg"">"	Injustice, Negative, Mistake	Kanji Drawing	-	Kanji_Drawing Level_17 Genki_L9
17	薬	"<img src=""085ac.svg"">"	Medicine, Drug, Drugs	Kanji Drawing	-	Kanji_Drawing Level_17 Genki_L9
17	覚	"<img src=""0899a.svg"">"	Memorize, Awake	Kanji Drawing	-	Kanji_Drawing Level_17 Genki_L9
17	梅	"<img src=""06885.svg"">"	Ume, Japanese Plum	Kanji Drawing	-	Kanji_Drawing Level_17 Genki_L9
22	統	"<img src=""07d71.svg"">"	Unite	Kanji Drawing	-	Kanji_Drawing Level_22 Genki_L9
31	散	"<img src=""06563.svg"">"	Scatter	Kanji Drawing	-	Kanji_Drawing Level_31 Genki_L9
33	灰	"<img src=""07070.svg"">"	Ashes	Kanji Drawing	-	Kanji_Drawing Level_33 Genki_L9
33	賃	"<img src=""08cc3.svg"">"	Rent	Kanji Drawing	-	Kanji_Drawing Level_33 Genki_L9
35	剣	"<img src=""05263.svg"">"	Sword	Kanji Drawing	-	Kanji_Drawing Level_35 Genki_L9
36	舞	"<img src=""0821e.svg"">"	Dance	Kanji Drawing	-	Kanji_Drawing Level_36 Genki_L9
36	伎	"<img src=""04f0e.svg"">"	Deed	Kanji Drawing	-	Kanji_Drawing Level_36 Genki_L9
37	弾	"<img src=""05f3e.svg"">"	Bullet	Kanji Drawing	-	Kanji_Drawing Level_37 Genki_L9
43	柔	"<img src=""067d4.svg"">"	Gentle	Kanji Drawing	-	Kanji_Drawing Level_43 Genki_L9
43	撲	"<img src=""064b2.svg"">"	Slap	Kanji Drawing	-	Kanji_Drawing Level_43 Genki_L9
45	狂	"<img src=""072c2.svg"">"	Lunatic, Crazy	Kanji Drawing	-	Kanji_Drawing Level_45 Genki_L9
49	紫	"<img src=""07d2b.svg"">"	Purple	Kanji Drawing	-	Kanji_Drawing Level_49 Genki_L9
56	寂	"<img src=""05bc2.svg"">"	Lonely	Kanji Drawing	-	Kanji_Drawing Level_56 Genki_L9
57	紺	"<img src=""07d3a.svg"">"	Navy, Dark Blue	Kanji Drawing	-	Kanji_Drawing Level_57 Genki_L9
12	階	"<img src=""0968e.svg"">"	Floor, Story, Storey	Kanji Drawing	-	Kanji_Drawing Level_12 Genki_L10
12	球	"<img src=""07403.svg"">"	Sphere, Ball	Kanji Drawing	-	Kanji_Drawing Level_12 Genki_L10
13	練	"<img src=""07df4.svg"">"	Practice	Kanji Drawing	-	Kanji_Drawing Level_13 Genki_L10
14	参	"<img src=""053c2.svg"">"	Participate	Kanji Drawing	-	Kanji_Drawing Level_14 Genki_L10
14	約	"<img src=""07d04.svg"">"	Promise	Kanji Drawing	-	Kanji_Drawing Level_14 Genki_L10
14	季	"<img src=""05b63.svg"">"	Seasons	Kanji Drawing	-	Kanji_Drawing Level_14 Genki_L10
15	浅	"<img src=""06d45.svg"">"	Shallow	Kanji Drawing	-	Kanji_Drawing Level_15 Genki_L10
16	阪	"<img src=""0962a.svg"">"	Heights, Slope	Kanji Drawing	-	Kanji_Drawing Level_16 Genki_L10
18	禁	"<img src=""07981.svg"">"	Prohibit, Prohibition	Kanji Drawing	-	Kanji_Drawing Level_18 Genki_L10
18	煙	"<img src=""07159.svg"">"	Smoke	Kanji Drawing	-	Kanji_Drawing Level_18 Genki_L10
19	容	"<img src=""05bb9.svg"">"	Form, Appearance, Shape, Figure	Kanji Drawing	-	Kanji_Drawing Level_19 Genki_L10
19	改	"<img src=""06539.svg"">"	Renew	Kanji Drawing	-	Kanji_Drawing Level_19 Genki_L10
19	節	"<img src=""07bc0.svg"">"	Season, Joint	Kanji Drawing	-	Kanji_Drawing Level_19 Genki_L10
20	飛	"<img src=""098db.svg"">"	Fly	Kanji Drawing	-	Kanji_Drawing Level_20 Genki_L10
20	機	"<img src=""06a5f.svg"">"	Machine	Kanji Drawing	-	Kanji_Drawing Level_20 Genki_L10
21	解	"<img src=""089e3.svg"">"	Untie, Solve	Kanji Drawing	-	Kanji_Drawing Level_21 Genki_L10
23	割	"<img src=""05272.svg"">"	Divide	Kanji Drawing	-	Kanji_Drawing Level_23 Genki_L10
23	乳	"<img src=""04e73.svg"">"	Milk	Kanji Drawing	-	Kanji_Drawing Level_23 Genki_L10
24	販	"<img src=""08ca9.svg"">"	Sell	Kanji Drawing	-	Kanji_Drawing Level_24 Genki_L10
26	往	"<img src=""05f80.svg"">"	Depart	Kanji Drawing	-	Kanji_Drawing Level_26 Genki_L10
26	復	"<img src=""05fa9.svg"">"	Restore	Kanji Drawing	-	Kanji_Drawing Level_26 Genki_L10
27	眠	"<img src=""07720.svg"">"	Sleep	Kanji Drawing	-	Kanji_Drawing Level_27 Genki_L10
27	段	"<img src=""06bb5.svg"">"	Steps, Stairs	Kanji Drawing	-	Kanji_Drawing Level_27 Genki_L10
28	浜	"<img src=""06d5c.svg"">"	Beach	Kanji Drawing	-	Kanji_Drawing Level_28 Genki_L10
28	冷	"<img src=""051b7.svg"">"	Cool, Cold	Kanji Drawing	-	Kanji_Drawing Level_28 Genki_L10
28	移	"<img src=""079fb.svg"">"	Shift	Kanji Drawing	-	Kanji_Drawing Level_28 Genki_L10
28	券	"<img src=""05238.svg"">"	Ticket	Kanji Drawing	-	Kanji_Drawing Level_28 Genki_L10
30	系	"<img src=""07cfb.svg"">"	Lineage	Kanji Drawing	-	Kanji_Drawing Level_30 Genki_L10
30	符	"<img src=""07b26.svg"">"	Token	Kanji Drawing	-	Kanji_Drawing Level_30 Genki_L10
31	普	"<img src=""0666e.svg"">"	Normal	Kanji Drawing	-	Kanji_Drawing Level_31 Genki_L10
31	倉	"<img src=""05009.svg"">"	Warehouse	Kanji Drawing	-	Kanji_Drawing Level_31 Genki_L10
32	暖	"<img src=""06696.svg"">"	Warm	Kanji Drawing	-	Kanji_Drawing Level_32 Genki_L10
33	簡	"<img src=""07c21.svg"">"	Simplicity	Kanji Drawing	-	Kanji_Drawing Level_33 Genki_L10
33	蒸	"<img src=""084b8.svg"">"	Steam	Kanji Drawing	-	Kanji_Drawing Level_33 Genki_L10
36	換	"<img src=""063db.svg"">"	Exchange	Kanji Drawing	-	Kanji_Drawing Level_36 Genki_L10
39	片	"<img src=""07247.svg"">"	One Sided	Kanji Drawing	-	Kanji_Drawing Level_39 Genki_L10
42	床	"<img src=""05e8a.svg"">"	Floor, Bed	Kanji Drawing	-	Kanji_Drawing Level_42 Genki_L10
42	泊	"<img src=""06cca.svg"">"	Overnight	Kanji Drawing	-	Kanji_Drawing Level_42 Genki_L10
46	涼	"<img src=""06dbc.svg"">"	Cool	Kanji Drawing	-	Kanji_Drawing Level_46 Genki_L10
54	鎌	"<img src=""0938c.svg"">"	Sickle, Scythe	Kanji Drawing	-	Kanji_Drawing Level_54 Genki_L10
11	共	"<img src=""05171.svg"">"	Together	Kanji Drawing	-	Kanji_Drawing Level_11 Genki_L11
12	登	"<img src=""0767b.svg"">"	Climb	Kanji Drawing	-	Kanji_Drawing Level_12 Genki_L11
12	泉	"<img src=""06cc9.svg"">"	Spring, Fountain	Kanji Drawing	-	Kanji_Drawing Level_12 Genki_L11
13	選	"<img src=""09078.svg"">"	Choose	Kanji Drawing	-	Kanji_Drawing Level_13 Genki_L11
